id,name,applicability
account_tag_SAFT_0010,"SAFT 0010",accounts
account_tag_SAFT_0011,"SAFT 0011",accounts
account_tag_SAFT_0019,"SAFT 0019",accounts
account_tag_SAFT_0020,"SAFT 0020",accounts
account_tag_SAFT_0021,"SAFT 0021",accounts
account_tag_SAFT_0029,"SAFT 0029",accounts
account_tag_SAFT_0100,"SAFT 0100",accounts
account_tag_SAFT_0101,"SAFT 0101",accounts
account_tag_SAFT_0109,"SAFT 0109",accounts
account_tag_SAFT_0110,"SAFT 0110",accounts
account_tag_SAFT_0111,"SAFT 0111",accounts
account_tag_SAFT_0112,"SAFT 0112",accounts
account_tag_SAFT_0113,"SAFT 0113",accounts
account_tag_SAFT_0119,"SAFT 0119",accounts
account_tag_SAFT_0120,"SAFT 0120",accounts
account_tag_SAFT_0121,"SAFT 0121",accounts
account_tag_SAFT_0129,"SAFT 0129",accounts
account_tag_SAFT_0130,"SAFT 0130",accounts
account_tag_SAFT_0131,"SAFT 0131",accounts
account_tag_SAFT_0132,"SAFT 0132",accounts
account_tag_SAFT_0133,"SAFT 0133",accounts
account_tag_SAFT_0134,"SAFT 0134",accounts
account_tag_SAFT_0140,"SAFT 0140",accounts
account_tag_SAFT_0141,"SAFT 0141",accounts
account_tag_SAFT_0149,"SAFT 0149",accounts
account_tag_SAFT_0150,"SAFT 0150",accounts
account_tag_SAFT_0151,"SAFT 0151",accounts
account_tag_SAFT_0159,"SAFT 0159",accounts
account_tag_SAFT_0160,"SAFT 0160",accounts
account_tag_SAFT_0169,"SAFT 0169",accounts
account_tag_SAFT_0170,"SAFT 0170",accounts
account_tag_SAFT_0179,"SAFT 0179",accounts
account_tag_SAFT_0180,"SAFT 0180",accounts
account_tag_SAFT_0200,"SAFT 0200",accounts
account_tag_SAFT_0205,"SAFT 0205",accounts
account_tag_SAFT_0210,"SAFT 0210",accounts
account_tag_SAFT_0219,"SAFT 0219",accounts
account_tag_SAFT_0220,"SAFT 0220",accounts
account_tag_SAFT_0229,"SAFT 0229",accounts
account_tag_SAFT_0300,"SAFT 0300",accounts
account_tag_SAFT_0301,"SAFT 0301",accounts
account_tag_SAFT_0310,"SAFT 0310",accounts
account_tag_SAFT_0311,"SAFT 0311",accounts
account_tag_SAFT_0320,"SAFT 0320",accounts
account_tag_SAFT_0321,"SAFT 0321",accounts
account_tag_SAFT_0330,"SAFT 0330",accounts
account_tag_SAFT_0331,"SAFT 0331",accounts
account_tag_SAFT_0340,"SAFT 0340",accounts
account_tag_SAFT_0341,"SAFT 0341",accounts
account_tag_SAFT_0349,"SAFT 0349",accounts
account_tag_SAFT_0350,"SAFT 0350",accounts
account_tag_SAFT_0351,"SAFT 0351",accounts
account_tag_SAFT_0359,"SAFT 0359",accounts
account_tag_SAFT_0360,"SAFT 0360",accounts
account_tag_SAFT_0361,"SAFT 0361",accounts
